Computer Name,IP Address,Operating System,Provider Type,Count
CMRLPT20064.sabc.cm,"fe80::aabe:3976:f568:ceb8
10.102.113.4",Windows 10 Professionnel,Tanium Client,1
CMRLPT23229.sabc.cm,"fe80::cccd:ba90:6e41:98cc
fe80::3844:5ebd:6969:6df2
169.254.224.168
10.100.0.72",Windows 10 Entreprise,Tanium Client,1
CMRUCT20046.sabc.cm,"fe80::7bbd:c0cd:63d3:53af
10.100.4.73",Windows 10 Entreprise,Tanium Client,1
CMRLPT24076.sabc.cm,"fe80::b5e6:54b0:65ae:8258
10.102.2.46",Windows 10 Entreprise,Tanium Client,1
CMRLPT21161.sabc.cm,"fe80::8de:ca9a:1602:f162
10.100.0.98",Windows 11 Entreprise,Tanium Client,1
CMRLPT19203.sabc.cm,"fe80::47e4:1320:44c1:8b54
10.102.8.181",Windows 10 Entreprise,Tanium Client,1
CMRLPT22097.sabc.cm,"fe80::b802:8505:f4a5:d900
10.102.33.194",Windows 10 Entreprise,Tanium Client,1
CMRUCT19256.sabc.cm,"fe80::9f0d:6784:9417:c685
10.102.2.78",Windows 10 Entreprise,Tanium Client,1
CMRUCT23164.sabc.cm,"fe80::82ec:b1db:3b1a:bb79
192.168.100.52",Windows 10 Entreprise,Tanium Client,1
CMRLPT23009.sabc.cm,"fe80::5d54:4e76:f06d:c3cc
10.216.11.37",Windows 10 Entreprise,Tanium Client,1
CMRLPT20036.sabc.cm,"fe80::2f62:c852:a854:3180
10.99.0.48",Windows 10 Entreprise,Tanium Client,1
SABCDIMO100.sabc.cm,"fe80::c7c8:4476:e268:af64
10.100.1.18",Windows Server 2019 Standard,Tanium Client,1
CMRLPT21132.sabc.cm,"fe80::d6d3:20ff:fba7:d7a0
10.99.0.35
fe80::33e0:ecd0:c9c2:53d0
10.99.2.50",Windows 10 Entreprise,Tanium Client,1
CMRUCT23134.sabc.cm,"fe80::e7cf:46bd:9383:8c6a
10.98.2.54",Windows 10 Entreprise,Tanium Client,1
SOCAMOS101.sabc.cm,"fe80::e11:1da6:16b8:8ce8
10.102.1.3",Windows Server 2019 Standard,Tanium Client,1
CMRLPT21146.sabc.cm,"fe80::2bb4:9476:9c27:ddd3
10.102.8.177",Windows 10 Entreprise,Tanium Client,1
